"id","exam_id","module_type","question_number","question_type","difficulty_level","question_markdown_backup","question_image_url","options_markdown_backup","correct_answer","explanation_markdown_backup","points","topic_tags","created_at","updated_at","table_data","correct_answers","content_format","question_html","options_html","explanation_html","question_text","options","explanation","html_migration_status","deleted_at"
"aa06fbdb-c466-458d-86ca-d1ba83755d34","6f4eb255-3d1a-4e4c-90f3-99364b63c91a","math2","17","grid_in","medium","If $121x^2 = -110x + 56$, what is the value of $11x+5$, where $11x + 5 > 0$?","","","9","","1","","2025-07-15T22:36:53.334035+00:00","2025-10-04T16:03:21.714147+00:00","","[""9""]","markdown","<p>If <span data-math=""121x^2 = -110x + 56"" data-inline=""true""></span>, what is the value of <span data-math=""11x+5"" data-inline=""true""></span>, where <span data-math=""11x + 5 &gt; 0"" data-inline=""true""></span>?</p>","","","<p>If <span data-math=""121x^2 = -110x + 56"" data-inline=""true""></span>, what is the value of <span data-math=""11x+5"" data-inline=""true""></span>, where <span data-math=""11x + 5 &gt; 0"" data-inline=""true""></span>?</p>","","","converted",""
"46b02dc5-e163-44a9-a22a-b7404696bf85","550e6881-8930-4d5f-9c7a-1234567890ab","math1","9","grid_in","medium","$$\frac{27(k+6)}{3(k+6)}$$The given expression is equivalent to $c$, where $c$ is a constant and $k > -6$. What is the value of $c$?","","{}","9","","1","","2025-07-19T20:42:25.115071+00:00","2025-10-04T16:03:09.959483+00:00","","[""9""]","markdown","<p><span data-math=""\frac{27(k+6)}{3(k+6)}"" data-inline=""false""></span>The given expression is equivalent to <span data-math=""c"" data-inline=""true""></span>, where <span data-math=""c"" data-inline=""true""></span> is a constant and <span data-math=""k &gt; -6"" data-inline=""true""></span>. What is the value of <span data-math=""c"" data-inline=""true""></span>?</p>","{}","","<p><span data-math=""\frac{27(k+6)}{3(k+6)}"" data-inline=""false""></span>The given expression is equivalent to <span data-math=""c"" data-inline=""true""></span>, where <span data-math=""c"" data-inline=""true""></span> is a constant and <span data-math=""k &gt; -6"" data-inline=""true""></span>. What is the value of <span data-math=""c"" data-inline=""true""></span>?</p>","{}","","converted",""
"649d5fff-8ff7-463e-b4f8-e81d0a95cb12","550e8400-e29b-41d4-a716-446655440000","math1","2","grid_in","medium","What value of $x$ satisfies the equation $2x + 3 = 3x - 5$?","","","8","Solve: 2x + 3 = 3x - 5. Subtract 2x from both sides: 3 = x - 5. Add 5 to both sides: x = 8.","1","[""linear equations"",""solving for variables""]","2025-07-12T04:06:29.83726+00:00","2025-10-04T16:03:44.086492+00:00","","[""8""]","markdown","","","","What value of $x$ satisfies the equation $2x + 3 = 3x - 5$?","","Solve: 2x + 3 = 3x - 5. Subtract 2x from both sides: 3 = x - 5. Add 5 to both sides: x = 8.","pending",""
"12df2ec8-7f23-478b-b084-2ede85f1eb78","b2c3d4e5-6789-abcd-ef01-23456789abcd","math2","5","grid_in","medium","$$2x^2 + 2y^2 + tx + ty - 78 = 0$$The given equation, where $t$ is a positive constant, defines a circle in the $xy$-plane. The radius of this circle is $\sqrt{41}$. What is the value of $t$?","","{}","4","","1","","2025-07-19T22:57:05.769995+00:00","2025-10-04T16:06:54.256766+00:00","","[""4""]","markdown","<p><span data-math=""2x^2 + 2y^2 + tx + ty - 78 = 0"" data-inline=""false""></span>The given equation, where <span data-math=""t"" data-inline=""true""></span> is a positive constant, defines a circle in the <span data-math=""xy"" data-inline=""true""></span>-plane. The radius of this circle is <span data-math=""\sqrt{41}"" data-inline=""true""></span>. What is the value of <span data-math=""t"" data-inline=""true""></span>?</p>","{}","","<p><span data-math=""2x^2 + 2y^2 + tx + ty - 78 = 0"" data-inline=""false""></span>The given equation, where <span data-math=""t"" data-inline=""true""></span> is a positive constant, defines a circle in the <span data-math=""xy"" data-inline=""true""></span>-plane. The radius of this circle is <span data-math=""\sqrt{41}"" data-inline=""true""></span>. What is the value of <span data-math=""t"" data-inline=""true""></span>?</p>","{}","","converted",""
"e39d4dce-43f8-4a95-b679-2d2241cbbfcf","f47ac10b-58cc-4372-a567-0e02b2c3d391","math2","16","grid_in","hard","The area of a triangle is equal to $x^2$ square centimeters. The length of the base of the triangle is $2x + 6$ centimeters, and the height of the triangle is $x - 2$ centimeters. What is the value of $x$?","","{}","6","","1","","2025-07-19T02:53:00.514195+00:00","2025-10-04T16:04:37.950888+00:00","","[""6""]","markdown","<p>The area of a triangle is equal to <span data-math=""x^2"" data-inline=""true""></span> square centimeters. The length of the base of the triangle is <span data-math=""2x + 6"" data-inline=""true""></span> centimeters, and the height of the triangle is <span data-math=""x - 2"" data-inline=""true""></span> centimeters. What is the value of <span data-math=""x"" data-inline=""true""></span>?</p>","{}","","<p>The area of a triangle is equal to <span data-math=""x^2"" data-inline=""true""></span> square centimeters. The length of the base of the triangle is <span data-math=""2x + 6"" data-inline=""true""></span> centimeters, and the height of the triangle is <span data-math=""x - 2"" data-inline=""true""></span> centimeters. What is the value of <span data-math=""x"" data-inline=""true""></span>?</p>","{}","","converted",""
"5f53be49-a7e4-4e2e-b0d6-7185c1e22cd6","4796f645-9975-4872-b466-e3b5248dcc6c","math1","6","multiple_choice","easy","$$f(x) = 7x + b$$\nFor the linear function $f$, $b$ is a constant and $f(8) = 56$. What is the value of $b$?","","{""A"":""$0$"",""B"":""$1$"",""C"":""$7$"",""D"":""$8$""}","A","","1","","2025-07-18T03:43:03.208217+00:00","2025-10-03T23:31:02.776795+00:00","","","markdown","","","","$$f(x) = 7x + b$$\nFor the linear function $f$, $b$ is a constant and $f(8) = 56$. What is the value of $b$?","{""A"":""$0$"",""B"":""$1$"",""C"":""$7$"",""D"":""$8$""}","","pending",""
"fb8ff2e4-10d3-4f06-8b24-6cff882f2f91","550e6881-8930-4d5f-9c7a-1234567890ab","math1","8","grid_in","medium","In the $xy$-plane, line $k$ has a slope of $5$ and a $y$-intercept of $(0,-35)$. What is the $x$-coordinate of the $x$-intercept of line $k$?","","{}","7","","1","","2025-07-19T20:42:25.115071+00:00","2025-10-04T16:04:07.832988+00:00","","[""7""]","markdown","<p>In the <span data-math=""xy"" data-inline=""true""></span>-plane, line <span data-math=""k"" data-inline=""true""></span> has a slope of <span data-math=""5"" data-inline=""true""></span> and a <span data-math=""y"" data-inline=""true""></span>-intercept of <span data-math=""(0,-35)"" data-inline=""true""></span>. What is the <span data-math=""x"" data-inline=""true""></span>-coordinate of the <span data-math=""x"" data-inline=""true""></span>-intercept of line <span data-math=""k"" data-inline=""true""></span>?</p>","{}","","<p>In the <span data-math=""xy"" data-inline=""true""></span>-plane, line <span data-math=""k"" data-inline=""true""></span> has a slope of <span data-math=""5"" data-inline=""true""></span> and a <span data-math=""y"" data-inline=""true""></span>-intercept of <span data-math=""(0,-35)"" data-inline=""true""></span>. What is the <span data-math=""x"" data-inline=""true""></span>-coordinate of the <span data-math=""x"" data-inline=""true""></span>-intercept of line <span data-math=""k"" data-inline=""true""></span>?</p>","{}","","converted",""
"53d06c8c-4f32-45fd-9c8b-490bde74e136","550e6881-8930-4d5f-9c7a-1234567890ab","math2","9","grid_in","medium","An exponential function f is defined by $f(x) = c^x$, where $c$ is a constant greater than $1$. If $f(6) = 9 \cdot f(4)$, what is the value of $c$?","","{}","3","","1","","2025-07-19T20:42:25.115071+00:00","2025-10-04T16:07:09.346764+00:00","","[""3""]","markdown","<p>An exponential function f is defined by <span data-math=""f(x) = c^x"" data-inline=""true""></span>, where <span data-math=""c"" data-inline=""true""></span> is a constant greater than <span data-math=""1"" data-inline=""true""></span>. If <span data-math=""f(6) = 9 \cdot f(4)"" data-inline=""true""></span>, what is the value of <span data-math=""c"" data-inline=""true""></span>?</p>","{}","","<p>An exponential function f is defined by <span data-math=""f(x) = c^x"" data-inline=""true""></span>, where <span data-math=""c"" data-inline=""true""></span> is a constant greater than <span data-math=""1"" data-inline=""true""></span>. If <span data-math=""f(6) = 9 \cdot f(4)"" data-inline=""true""></span>, what is the value of <span data-math=""c"" data-inline=""true""></span>?</p>","{}","","converted",""
"a91c1f58-e885-41b3-af8b-b7cc33aee4ed","6f4eb255-3d1a-4e4c-90f3-99364b63c91a","math1","16","grid_in","medium","In the $xy$-plane, the graph of the equation $(x - 6)^2 + (y - 2)^2 = 36$ is a circle. The point $(12, c)$, where $c$ is a constant, lies on this circle. What is the value of $c$?","","{}","2","","1","","2025-07-15T22:36:53.334035+00:00","2025-10-04T16:10:23.998498+00:00","","[""2""]","markdown","<p>In the <span data-math=""xy"" data-inline=""true""></span>-plane, the graph of the equation <span data-math=""(x - 6)^2 + (y - 2)^2 = 36"" data-inline=""true""></span> is a circle. The point <span data-math=""(12, c)"" data-inline=""true""></span>, where <span data-math=""c"" data-inline=""true""></span> is a constant, lies on this circle. What is the value of <span data-math=""c"" data-inline=""true""></span>?</p>","{}","","<p>In the <span data-math=""xy"" data-inline=""true""></span>-plane, the graph of the equation <span data-math=""(x - 6)^2 + (y - 2)^2 = 36"" data-inline=""true""></span> is a circle. The point <span data-math=""(12, c)"" data-inline=""true""></span>, where <span data-math=""c"" data-inline=""true""></span> is a constant, lies on this circle. What is the value of <span data-math=""c"" data-inline=""true""></span>?</p>","{}","","converted",""
"713535a5-1d42-4f65-a6c1-fc3816eaea79","f8b2d4c1-9a3e-4f5c-b7d8-1e2a3b4c5d6e","math2","13","grid_in","hard","$$x^2 + 5x = 37$$The solutions to the given equation are $\frac{m+ \sqrt{q}}{2}$ and $\frac{m- \sqrt{q}}{2}$, where $m$ and $q$ are integers. What is the value of $m + q$?","","{}","168","","1","","2025-07-18T14:29:43.510221+00:00","2025-10-04T16:11:09.441395+00:00","","[""168""]","markdown","","","","$$x^2 + 5x = 37$$The solutions to the given equation are $\frac{m+ \sqrt{q}}{2}$ and $\frac{m- \sqrt{q}}{2}$, where $m$ and $q$ are integers. What is the value of $m + q$?","{}","","pending",""
